Country,ISO3166,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Panama,PAN,27,22,30,30,30,30,30,30,30,34,45,44,43,43,44,44,44,44,46,48,50,49
Papua New Guinea,PNG,25,23,30,30,28,28,28,29,26,25,25,29,29,30,28,26,24,25,27,28,29,29
Paraguay,PRY,41,56,52,52,52,47,51,51,51,55,54,56,57,60,60,59,59,60,60,61,59,59
Peru,PER,58,57,60,56,59,63,67,54,30,35,34,40,39,42,44,44,44,43,44,43,44,47
Philippines,PHL,55,46,46,46,30,30,30,30,30,30,34,35,40,46,45,45,48,46,42,43,44,44
Poland,POL,30,29,21,27,25,25,19,19,18,18,19,20,21,22,24,24,24,25,25,26,27,26
Portugal,PRT,18,16,17,17,17,17,17,17,15,15,14,14,14,14,16,16,16,17,17,17,18,18
Qatar,QAT,64,64,62,53,62,62,62,62,62,61,61,62,61,63,64,65,66,66,67,67,67,67
Romania,ROU,55,50,49,47,39,44,44,44,35,38,47,47,44,42,44,44,43,42,41,42,41,42
Russia,RUS,40,55,58,53,53,59,60,60,60,66,67,68,72,75,78,80,81,81,80,81,81,83
Rwanda,RWA,63,N/A,74,74,71,72,72,72,87,80,82,84,85,84,84,85,83,84,82,80,79,79
Saint Kitts and Nevis,KNA,21,19,18,18,18,18,18,18,18,18,21,23,21,20,19,19,20,20,20,20,20,20
Saint Lucia,LCA,13,13,13,13,13,13,13,13,11,8,11,16,18,16,16,15,15,15,15,15,15,15
Saint Vincent and the Grenadines,VCT,22,12,16,16,16,16,16,16,16,17,14,16,16,17,17,17,17,17,17,17,17,17
Samoa,WSM,30,29,28,28,28,31,34,21,23,24,24,25,29,30,29,29,29,30,29,29,29,30
San Marino,SMR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,14,16,17,17,17,17,17,17,17,16,16,16
Sao Tome and Principe,STP,52,34,48,48,30,30,27,25,19,19,28,28,29,29,28,28,28,29,29,28,28,28
Saudi Arabia,SAU,71,76,62,80,80,85,90,92,80,80,80,80,79,82,81,82,83,83,84,84,83,83
Senegal,SEN,56,48,31,37,33,33,33,34,39,38,37,37,44,46,49,53,57,54,55,52,48,48
Serbia,SRB,86,87,77,75,75,81,81,56,45,40,40,40,40,39,39,39,35,33,35,36,37,40
Seychelles,SYC,44,57,50,50,50,50,50,51,51,50,52,58,60,60,59,59,58,56,56,56,52,50
Sierra Leone,SLE,81,72,75,75,80,80,85,75,62,61,58,59,59,56,59,56,55,53,49,49,49,50
Singapore,SGP,60,65,61,66,66,66,66,68,68,66,64,66,66,69,69,68,68,68,67,67,67,67
Slovakia,SVK,47,55,41,49,47,30,30,26,22,21,21,21,20,20,22,23,23,22,21,22,23,24
Slovenia,SVN,40,37,27,28,27,27,27,21,20,19,19,19,20,21,23,24,25,25,25,24,24,25
Solomon Islands,SLB,22,18,13,14,14,16,18,22,24,25,30,30,30,30,30,30,29,29,28,28,28,28
Somalia,SOM,N/A,N/A,79,86,86,88,88,86,88,80,80,83,83,85,84,84,84,84,84,84,82,79
South Africa,ZAF,38,30,30,27,28,28,25,23,23,25,24,26,27,28,28,30,32,33,34,35,33,37
South Korea,KOR,29,28,22,25,28,28,27,27,30,29,29,29,30,30,30,30,30,32,32,31,32,33
South Sudan,SSD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59,60,62,68
Spain,ESP,14,23,17,19,17,21,18,20,17,16,19,22,21,22,23,24,24,23,24,27,28,28
Sri Lanka,LKA,43,41,46,54,50,58,70,74,63,52,53,56,58,63,67,70,72,71,72,74,76,76
Sudan,SDN,88,76,80,85,85,85,85,85,87,84,85,86,85,81,78,78,76,78,78,80,81,81
Suriname,SUR,43,45,31,31,31,31,31,28,25,26,18,20,23,22,23,23,23,23,23,24,28,29
Swaziland,SWZ,72,73,69,69,75,75,77,77,77,74,77,79,77,76,76,76,76,76,76,77,78,79
Sweden,SWE,11,10,10,10,10,10,11,10,8,8,8,9,10,11,11,11,10,11,10,10,10,10
Switzerland,CHE,11,10,8,9,8,8,8,8,8,10,9,11,11,12,13,13,13,13,12,12,12,13
Syria,SYR,75,75,75,75,74,74,73,71,78,80,80,83,84,83,83,83,83,84,89,88,89,90
Taiwan,TWN,29,30,30,28,25,25,21,22,21,24,23,21,20,20,20,23,24,25,25,26,26,27
Tajikistan,TJK,93,93,96,95,94,94,94,79,80,76,73,74,76,76,77,78,78,78,79,79,80,82
Tanzania,TZA,60,49,49,49,48,51,49,49,49,47,50,51,50,51,48,50,50,48,49,51,55,54
Thailand,THA,54,49,31,34,31,30,30,29,30,36,39,42,50,59,56,57,58,62,60,62,64,75
Togo,TGO,85,67,70,70,73,73,74,72,68,74,78,73,78,74,74,72,74,73,69,70,65,62
Tonga,TON,35,37,35,41,39,39,36,36,36,32,44,37,32,31,31,32,32,31,29,29,29,29
Trinidad and Tobago,TTO,29,25,26,30,28,28,28,28,30,25,25,24,26,24,23,23,23,24,25,26,25,27
Tunisia,TUN,59,64,70,70,74,74,74,74,73,78,80,80,83,83,81,82,85,85,51,52,53,48
Turkey,TUR,59,73,74,65,69,69,58,58,58,55,52,48,48,49,51,50,51,54,55,56,62,65
Turkmenistan,TKM,89,84,84,84,84,85,86,89,91,92,95,96,96,96,96,96,95,96,96,96,95,95
Tuvalu,TUV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,19,20,26,26,26,26,26,26,26,26,27,27
Uganda,UGA,84,38,38,38,40,40,40,40,42,45,44,44,52,54,53,53,54,54,57,55,58,56
Ukraine,UKR,44,42,39,49,49,50,60,60,60,67,68,59,53,53,53,55,53,56,59,60,63,58
United Arab Emirates,ARE,76,77,76,76,76,76,76,76,74,74,75,72,65,68,68,69,71,71,72,74,76,76
United Kingdom,GBR,24,22,22,22,21,20,20,17,18,18,19,18,19,19,18,19,19,19,21,21,23,24
United States,USA,12,12,14,14,12,13,13,15,16,17,13,17,16,16,17,18,19,17,18,18,21,22
Uruguay,URY,23,25,25,29,30,30,29,30,25,30,26,29,28,30,30,26,25,25,26,26,26,24
Uzbekistan,UZB,85,79,75,76,76,79,83,84,84,86,84,85,90,91,92,93,92,94,95,95,95,95
Vanuatu,VUT,45,54,42,42,42,42,44,37,24,21,23,24,25,24,23,23,23,25,26,25,25,25
Venezuela,VEN,30,49,31,32,33,33,34,34,44,68,68,72,72,74,74,73,75,76,76,76,78,81
Vietnam,VNM,71,68,68,69,71,71,75,80,82,82,82,82,79,77,82,83,82,83,84,84,84,86
Yemen,YEM,55,63,68,68,68,68,68,69,65,69,67,76,81,80,78,79,80,83,83,79,76,78
Zambia,ZMB,50,61,60,61,60,62,62,62,65,63,63,65,64,64,64,65,64,61,60,60,61,62
Zimbabwe,ZWE,48,59,56,57,61,64,67,69,83,88,89,89,90,89,89,88,84,81,80,77,73,70
